Sample,Row,Col,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16
R1158,A,1,0.205,0.177,0.178,0.192,0.204,0.222,0.258,0.3,0.352,0.42,0.503,0.628,0.757,0.906,1.065,1.235,1.409,1.602,1.786,1.962,2.01,2.025,2.027,2.043,2.052,2.064,2.076,2.099,2.124,2.151,2.175,2.177,2.207
Tet-ERO1,A,2,0.162,0.162,0.169,0.172,0.189,0.201,0.23,0.256,0.296,0.354,0.408,0.484,0.582,0.696,0.811,0.959,1.105,1.265,1.428,1.587,1.76,1.931,1.983,2,2.002,1.999,2.021,2.016,2.018,2.046,2.043,2.05,2.069
Tet-ERO1 + 0.5,A,3,0.171,0.18,0.186,0.193,0.205,0.222,0.234,0.266,0.298,0.333,0.38,0.427,0.504,0.584,0.671,0.771,0.858,0.944,1.076,1.171,1.29,1.417,1.536,1.669,1.791,1.848,1.878,1.904,1.904,1.915,1.927,1.932,1.936
Tet-ERO1 + 1,A,4,0.439,0.167,0.176,0.18,0.191,0.194,0.216,0.222,0.242,0.262,0.29,0.31,0.358,0.394,0.445,0.499,0.57,0.644,0.725,0.825,0.933,1.039,1.142,1.278,1.402,1.52,1.644,1.76,1.801,1.809,1.832,1.83,1.849
Tet-ERO1 + 2,A,5,0.233,0.176,0.182,0.184,0.188,0.199,0.206,0.232,0.246,0.246,0.258,0.28,0.29,0.311,0.325,0.36,0.4,0.435,0.501,0.556,0.6,0.675,0.776,0.849,0.942,1.033,1.143,1.234,1.355,1.467,1.57,1.681,1.765
Tet-ERO1 + 5,A,6,0.152,0.157,0.162,0.165,0.168,0.175,0.182,0.187,0.202,0.205,0.219,0.231,0.237,0.248,0.261,0.277,0.299,0.328,0.343,0.377,0.407,0.461,0.489,0.533,0.581,0.645,0.721,0.77,0.87,0.971,1.046,1.14,1.231
R1158,B,1,0.295,0.194,0.208,0.222,0.236,0.264,0.307,0.356,0.433,0.536,0.648,0.786,0.935,1.126,1.304,1.487,1.663,1.869,2.032,2.075,2.101,2.109,2.118,2.141,2.138,2.149,2.174,2.2,2.217,2.243,2.237,2.26,2.294
Tet-ERO1,B,2,0.17,0.176,0.183,0.188,0.202,0.22,0.258,0.295,0.342,0.417,0.502,0.619,0.723,0.88,1.036,1.215,1.392,1.584,1.786,1.978,2.066,2.102,2.119,2.131,2.138,2.139,2.166,2.186,2.202,2.231,2.227,2.261,2.275
Tet-ERO1 + 0.5,B,3,0.19,0.202,0.203,0.215,0.238,0.255,0.276,0.314,0.365,0.419,0.479,0.546,0.639,0.707,0.82,0.912,1.01,1.126,1.236,1.339,1.468,1.587,1.702,1.821,1.874,1.908,1.924,1.937,1.941,1.964,1.974,1.971,1.99
Tet-ERO1 + 1,B,4,0.204,0.169,0.181,0.212,0.193,0.202,0.208,0.233,0.251,0.272,0.282,0.308,0.355,0.394,0.453,0.503,0.561,0.624,0.702,0.8,0.88,0.988,1.077,1.216,1.325,1.449,1.552,1.693,1.787,1.83,1.857,1.903,1.921
Tet-ERO1 + 2,B,5,0.154,0.162,0.173,0.176,0.178,0.197,0.203,0.21,0.219,0.231,0.232,0.246,0.276,0.287,0.315,0.34,0.362,0.419,0.448,0.506,0.566,0.623,0.694,0.779,0.856,0.947,1.051,1.151,1.255,1.381,1.464,1.568,1.691
Tet-ERO1 + 5,B,6,0.235,0.173,0.175,0.184,0.196,0.208,0.213,0.219,0.226,0.241,0.25,0.26,0.281,0.3,0.326,0.331,0.363,0.393,0.42,0.472,0.503,0.575,0.643,0.701,0.771,0.832,0.929,1.007,1.088,1.182,1.302,1.395,1.488
R1158,C,1,0.536,0.195,0.195,0.212,0.228,0.242,0.297,0.339,0.405,0.494,0.604,0.74,0.88,1.04,1.221,1.395,1.578,1.765,1.962,2.046,2.075,2.09,2.107,2.119,2.127,2.124,2.149,2.175,2.196,2.218,2.21,2.236,2.273
Tet-ERO1,C,2,0.54,0.172,0.181,0.193,0.212,0.232,0.268,0.31,0.377,0.436,0.543,0.652,0.781,0.928,1.095,1.263,1.451,1.637,1.818,2.011,2.094,2.11,2.124,2.141,2.141,2.136,2.149,2.164,2.18,2.206,2.197,2.21,2.228
Tet-ERO1 + 0.5,C,3,0.205,0.22,0.225,0.237,0.262,0.276,0.305,0.347,0.399,0.445,0.514,0.59,0.663,0.771,0.866,0.973,1.063,1.166,1.272,1.398,1.491,1.633,1.754,1.867,1.898,1.906,1.913,1.942,1.951,1.957,1.966,1.988,2.005
Tet-ERO1 + 1,C,4,0.904,0.169,0.177,0.18,0.19,0.199,0.211,0.222,0.231,0.25,0.27,0.296,0.321,0.352,0.381,0.428,0.47,0.528,0.599,0.661,0.738,0.825,0.9,1.018,1.122,1.215,1.348,1.455,1.574,1.694,1.768,1.802,1.839
Tet-ERO1 + 2,C,5,0.21,0.221,0.228,0.241,0.253,0.263,0.277,0.291,0.299,0.322,0.337,0.356,0.375,0.411,0.441,0.475,0.509,0.568,0.626,0.676,0.758,0.817,0.912,0.994,1.095,1.201,1.289,1.38,1.519,1.617,1.724,1.764,1.798
Tet-ERO1 + 5,C,6,0.593,0.212,0.216,0.224,0.238,0.252,0.256,0.265,0.282,0.29,0.303,0.318,0.352,0.36,0.384,0.421,0.452,0.496,0.532,0.599,0.641,0.71,0.751,0.849,0.898,1,1.082,1.175,1.271,1.401,1.498,1.594,1.687
R1158,D,1,0.873,0.192,0.203,0.218,0.23,0.267,0.29,0.344,0.416,0.507,0.608,0.743,0.902,1.06,1.216,1.406,1.584,1.778,1.979,2.028,2.061,2.07,2.078,2.098,2.1,2.114,2.133,2.156,2.179,2.197,2.212,2.226,2.249
Tet-ERO1,D,2,0.138,0.145,0.147,0.149,0.158,0.166,0.17,0.191,0.213,0.231,0.267,0.291,0.353,0.406,0.47,0.556,0.658,0.766,0.887,1.016,1.162,1.308,1.454,1.61,1.774,1.911,1.969,1.98,1.983,2.005,1.991,1.993,1.993
Tet-ERO1 + 0.5,D,3,0.307,0.196,0.199,0.209,0.221,0.234,0.264,0.292,0.331,0.379,0.432,0.48,0.561,0.661,0.744,0.821,0.943,1.016,1.124,1.227,1.353,1.464,1.591,1.704,1.803,1.82,1.844,1.858,1.872,1.88,1.889,1.898,1.912
Tet-ERO1 + 1,D,4,1.079,0.25,0.204,0.214,0.225,0.229,0.248,0.267,0.276,0.299,0.326,0.36,0.395,0.419,0.466,0.539,0.585,0.655,0.722,0.79,0.885,0.971,1.069,1.18,1.28,1.414,1.509,1.631,1.759,1.785,1.827,1.811,1.844
Tet-ERO1 + 2,D,5,0.222,0.201,0.201,0.212,0.224,0.235,0.25,0.257,0.272,0.28,0.295,0.313,0.34,0.366,0.388,0.431,0.468,0.511,0.579,0.619,0.71,0.773,0.849,0.94,1.021,1.115,1.214,1.311,1.437,1.533,1.66,1.749,1.801
Tet-ERO1 + 5,D,6,0.184,0.181,0.192,0.187,0.202,0.203,0.212,0.218,0.223,0.227,0.242,0.244,0.26,0.268,0.291,0.302,0.318,0.34,0.38,0.407,0.433,0.473,0.522,0.557,0.619,0.658,0.72,0.809,0.88,0.972,1.04,1.136,1.251
